,src,tgt
34,"How is the situation going, how will it get better, how is the seven-and-a-half-year phase going, with gold feet, silver feet, iron feet?","कसी दशा चल रै कसी ठीक हैली, कसी साड़ेसाती चल रै, सुनुक खुटक, चांदी खुटक, लूवैक खुटक।"
35,"This is my prayer, that your love, wisdom, and understanding for God always grow.","मेरि यौ प्रार्थना छु, कि तुम परमेश्वरक प्रेम, बुद्धि और समझ मिं हमेशा बढ़नै रओ।"
36,"Because he was tied with chains and shackles repeatedly, but he broke the chains and smashed the shackles into pieces.","किलैकि उकैं बारि-बारि जंजीरोंल और बेड़ियोंल बादछी, पर वील जंजीरों कैं टोड़ि दे और बेड़ियोंक टुकुड़-टुकुड़ बड़ै देईं।"
37,"Now he made a vow that a poem or article about helpless wise women, who sacrificed their lives to save their honor in society till today, and couldn?t resist or confront demon-like men.",अब वील एक प्रण करौ कि एक कविता या आलेख अबला स्यैणियो पर जो आज तक समाज में अपणि लाज बचूणा्क चक्कर में अपणि ज्यान कुर्बान कर दिनी और ऊँ दैत्य-दानव स्वरूप मैंसों क मुकाबला या विरोध निकर सकन।
38,"Then Pancham said he?d dance with friends, but not now, only when your sister-in-law comes.","तब पंचम कूनी वाल भै-यार नाचनौ काम त मैं ले करूंल लेकिन ऐल नैं, जब तेरि भौजि ऐ जालि तब।"
39,"Devaki told Radha the story of four rotis, where three were eaten, one wasn?t, and she even mentioned keeping it in a plastic bag under her pillow.","देबकील राधाक चार लेसु र्वाटौंकि कहानि, जमें बै तीन खाई, एक नि खाइ और उकैं पलास्टिक थैलि में सिराण दबूणकि बात लै बतै दी।"
40,"Seeing Pandey Ji laugh, the headmaster looked at his pajama, and it truly looked like a clown?s.",पांडे ज्यू कें हँसण देखि बेर हेडमास्टर ज्यूल पैजामैकि तरफ द्यखो तौ पैजाम सच्ची में जोकरनैकि जसि हई भइ।
41,It shouldn?t take too long for the burial.,कफन-दफन में जादा देर जै के लागैं।
42,"On the wedding night, after drinking liquor by eight or nine, he fell into a stupor.",ब्याव रात आठ-नौ बजि शराब पिबेर ऊँ और टुनन से जाँ।
43,"We don?t know what?s happening in the outside world; God, tell us what?s going on in the world these days!","भ्यैरैकि दुनियकि हमन कैं के ले खबर नहां, भगवन हमन कैं यो बताओ कि दुन्नि में कि हैरौ आजकल!"
44,This is a dictionary based on the etymology of pure Kumaoni words.,य विशुद्ध रूपल कुमाउनी शब्दोंक व्युत्पत्तिपरक कोश छ।
45,"When Golu Ji became king, he started working to ease the people?s sorrows.",जब गोलु ज्यु राज बनीं तो प्रजा क दुःख दूर करण में लागि गईं।
46,"We all can cry well, but our only sorrow is that our family doesn?t maintain any kind of relationship with us.",हम सब भली कै रुनू पर एक्कै दुख छु कि हमार परिवार वाल हमन दगै क्वे किस्मौक संबंध नि धरण चाण।
47,To perform worship at the story?s place would be right.,य काथ कैं कथा कि जागि पर पुज कौण ठीक रौल।
48,"Sister! In those days when you all went to the far jungle, laughing, joking, singing songs and ballads while bringing grass and wood, hearing those things cheered me up; how good those days were.","दीदी! उन दिनों जब तुम सब धुर-जंगव जांछिया, वांकि हँसि-मजाक, गीत-बैर गाते हुए घा-लकाड़ लौंछिया, उ बातों कैं सुणि बेर मैंकणि हौसि लागनेर भै, कतुक भाल भै उ दिन।"
49,"Hearing this, all the people were stunned.",यौ सुणिबेर सब मैंस दंग रै ग्याय।
50,"Oh madman! If you file a report at the police station, the police and government together will make you dance for life.",हे पगला! थाण में रपोट लेखूण पर त पुलिस और सरकार मिलि बेर तुकें जिंदगी भरिकि थें नचै द्याल।
51,"After that, after Jesus cried out loudly, he gave up his spirit.",यैक बाद यीशुक खाप बे जोरकि अवाज निकलणक बाद उनुल आपण प्राण छोड़ि देई।
52,"Well, whatever happens, we?ll see.","खैर जे लै होल, देखी जा्ल।"
53,"This wise one was there, that?s why he committed suicide.",यौ स्यैणि वदिल छि बल तबै वील आत्महत्या कर राखी बल।
54,And he threw their tables away and didn?t let anyone carry goods through God?s house courtyard.,"और उनुल उनर मेजों कैं खेड़ि दे, और कैकणी लै समान लिबेर परमेश्वरक घरक पटाङणक बॉट नी जाण देय।"
55,Where a huge crowd of people had gathered.,जमें लोग-बागनैकि भौत ज्यादा भीड़ इकठ्ठ भै।
56,The composition can be sent by mail under the editor?s name to this address.,रचना संपादक क नाम पर य पत्त पर डाक द्वारा भेजि सकछा।
57,"Inside, the girls were busy with their joys and sorrows, some grinding millet, some making Aipan designs.","स्येंणिं, चेल्ली भितरा क कमरन में आपण-आपण सुख-दुःख लगै राखछि, क्वे बिस्वार पिसि द्वार मोव लेखंण, एैपंण डालंण में व्यस्त रूंछि।"
58,"Bishan said, Friend Bhina! Whether the leaf is big or small, whatever happens has happened till now.","बिशनल कै, यार भिना! पत्त ठुल हो या ना्न, जू लै कैक भयो आज तक।"
59,"Under the cot?s legs, with soft cloth, I?ll cook bread, or lentils, porridge, whatever there is.","पालंगौक तिनड़ी, मुलौक थेच्चु दगै रोट पकै द्युं या दलि, खिचैड़ि, जे कुंछै।"
60,"He thought, even in this cruel world today, there?s someone as kind as Maya.","वल स्वचौ, आज एसि निर्दयी दुनि में माया जसि दयावान लै छा।"
61,Scholars believe that the first Khas tribe lived in Kumaon.,विद्वानोंक मानण छु कि कुमाऊँ में पैंली खश जाति निवास करछी।
62,"Now we can?t find the Ghughuti mantra, but by making Ghughuti from flour, even today kids sing Ghughuti and crow songs while feeding the crows.",आ्ब घुघुती मंत्र तो नि मिलि सकन पर पिसुवाक् घुघुत बणै बेर नानतिनाक् हात् आज लै कावांक और घुघुतियक गीत गै-गै बेर घुघुत कावां कैं खवाई जानी।
63,"This helpless cripple, no one in the world should see their mother or sister insulted with mud or bear humiliation.","यौ असहाय अपंग छ, दुनि में कोई लै भै अपणि मै-बैणियाँ में कीचड़ उछालते नि देखण चान और न अपमान सहन कर सकन।"
64,"My leave ended there, and I stayed there.","इथकै म्यार छुट्टी पुरि ग्याय, मैं ऊनै रैयूं।"
65,Tomorrow they will go to their work too.,भोल यै बै जालै आपण काम में।
66,"Day by day, the Kumaoni language is starting to develop.",दिन पर दिन कुमाउनी भाषाक विकास हुण लागि रौ।
67,"In a year, seeing one sister among them has happened.",साल भरि में वैक एक भौत देखण चांण च्यौल भौ है गोय।
68,"The wedding will happen at my friend?s house, Damu said.","ब्याव कै म्या्र दगा्ड़ घर अै जालि, दमुवैल कौ।"
69,Pour the ghee into the soldier?s pot.,घ्यु ले सिपाइलि पतेलि में डालि द्यो।
70,"For four years, he continuously fought with Jaimal, the upper Doti king.",ऊं चार सालों बै उरातार डोटीक मल्ल राज जयमल्ल दगै लड़ै लड़नाछी।
71,The story of the brave Abdul Hamid is still fresh in my memory.,यसीकै वीर अब्दुल हमीद कि कहानि लै मैंकें मुखजबानी याद छ।
72,"Lal Da?s wedding in 1987, I remember it well.",लाल दा ब्या १९८७ में हौय मकणि भलीकै याद छू।
73,"Today, Madhu?s groom?s side has arrived.",आज मधुलिकि बर्यात अणि छा।
74,"He said, Boy, look, now I?ve become very old.","वील कौ, च्यला देख, ऑब मी भौत बुड़ है गोयूं।"
75,"If he doesn?t die, then he?ll die like her too.",नि मरौ तो फिर ऊ लै मरीए जस हय।
76,"Until you reach there, what can we do?",जब तलक तुम वां नि पुजला तब तलक हम के नि करि सकन।
77,"That became my little job, a small role.","उसिकै मेरि नानि नौकरि, नानि भूमिका भै।"
78,"She reached Bethlehem with her Moabite daughter-in-law Ruth; at that time, the barley harvest was happening there.","इसिक नामी आपणि मोआबी ब्वारि रूतक दगाड़ आपण गौं बैतलहम पुजी, उ बखत वां जौं कटाइ हैरैछी।"
79,"In the herd, looking up and down while grazing, a long whistle sounded, Pooooh.",पंजन् में उचैकि-उचैकि बेर उतरप देखते देखते हाव् में शांकै कि लंबी आवाज पूऽऽऽऽऽह्।
80,Be brave and stand inside with him.,हिम्मत करैं और वी भितेर ठा्ड़ है जैं।
81,"Oh, this Nirav Modi has six passports with different names and addresses?","हाई, यौ नीरव मोदी पास छः पासपोर्ट छी बल अलग अलग नाम-पत्त वाल्?"
82,"Even in such adverse conditions, her poetry stays alive.",अकाव जसि विषम परिस्थिति में लै उनरि कविता ज्यूनी रै।
83,"There?s Kedarnath, Badrinath, Gangotri, Yamunotri, and many other pilgrimage sites too.","केदारनाथ छ, बदरीनाथ छ, गंगोत्री छ, यमुनोत्री छ और लै कतुपै तीर्थ छन।"
84,"All the people of the world run after these things, but your Father God knows you need all these things.","दुनियॉक सब मैंस यौ चीजोंक पछिल दौड़नी, पर तुमर पिता परमेश्वर जाणनी कि तुमुकैं यौं सब चीजोंक जरवत छु।"
85,I?ll reach home by evening even after the wedding.,भोव हू व्याव तलक मी घर पहूच जूल।
86,"Why be afraid, little one, go, I?ll go this far too, Harish said.","के नि डरन नान, से जा, मैं लै यतिकै से जानू, हरीशल कौ।"
87,"Jesus explained to him, Go straight home and don?t tell anyone in the village about this.","यीशुल उकैं समझैबेर कौ, सिद्द आपण घर जा और गौं मिं यौ बातक बारि मिं कै धैं के लै नि कऐ।"
88,"Their goods were there too, and whatever they had, they sold it as needed and distributed it among them.","उनर समान लै साजक छी, और जनर पास समान छी, उं उकैं बेचिबेर जस जनेरि जरवत हुंछी, उस उनुकैं बॉट दिंछी।"
89,"He took him to Antioch, and they stayed there teaching people for a year.","वांबे उकैं आपण दगाड़ अंताकिया लिबेर आ, और उं द्विवै अंताकिया मिं एक साल तलक मैंसों कैं सिखूनै रईं।"
90,"In these dictionaries, one is an old Khasakura Pahari dictionary.",इन शब्दकोशों में एक छु खसकुरा पुरानी पहाड़ी शब्दकोश।
91,"His birth was on October 2, 1964, in Badalu Dhapot village, Pithoragarh district, to mother Mrs. Kamla Devi and father Mr. Mohan Singh Thakurathi Ji.","इनर जनम 2 अक्टूबर सन 1964 हुं ग्राम बड़ालू धपौट, जिल्ल पिथौरागढ़ में ईजा श्रीमती कमला देवी व बौज्यू श्री मोहन सिंह ठकुराठी ज्यू वाँ भौ।"
92,"He blew on the corpse, pulled out pieces of flesh, dipped them in water to cool them, wrapped them in a cloth, and threw them into the Yamuna.",ऊ मुर्द फुकणयैल ऊ मासौ्क टुकुड़ भ्यार निकाली हैं वीकें पाणि में डायबेर ठंड करो और एक कपड़ाक टुक में बादि बेर जमुना में डाइ द्‌यो।
93,"Joseph?s mistress talked to him daily, but Joseph didn?t agree.",यूसुफकि मालकिन वीक दगाड़ रोज-रोज बात करछी लेकिन यूसुफ नि मानछी।
94,When the boy was selected in the NDA.,जब च्यल एनडीए में चयनित भौ।
95,Then Mother felt that something was wrong.,तब इज कें लागौ कि सैत कुछ गड़बड़ छा।
96,"While coming to Lucknow, it was my duty to deliver these bundles and goods to Birnagar, Nazarbaag, Sadar, Canal Colony, and Raja Bazaar.","लखनौ ऐ बेरि इन पुन्तुरिन और सामान कैं बीरनगर, नजरबाग, सदर, नहर कालोनी, राजा बजार पुजुणैं ड्यूटि मेरि भै।"
97,Now tomorrow he?ll wear his pajama too.,आ्ब भोल हुणि उसिकै पैजाम लगै ल्हयाल।
98,"In May, with the Ghughutas, shields, swords, drums, and pomegranate flowers are made.","माव् में घुघुतांक् दगाड़ि गछ्याईं जानी-ढाल-तलवार, हुड़ुक, डमरू, दाड़िमक फूल।"
99,Jesus was teaching about praying.,यीशु प्रार्थना करणक बारि मिं सिखूणईं।
100,"Jesus said again, I tell you not to worry about your life, what we will eat, or about your body, what we will wear.","यीशुल फिर कौ, मी तुमुधैं कूंनू कि फिकर नि करो, न आपण जिन्दगीक लिजी कि हम के खूंल और न आपण आङक लिजी कि हम के पैरूंल।"
101,He knows where she died too.,उ लै जाणि कति मरि रई।
102,"Everyone thought that at twelve o?clock, Madhu?s groom would feel human pain.",सबु हैं कई हौय कि बार बजि जामिणी रौल मधुलिकु क्वर मानव पिणु।
103,"How is our daughter-in-law, Kyapp said.",क्याप्प हाइ कौ हमार ब्वारी।
104,"After that, instead of Felix, Festus became the governor.",यैक बाद फेलिक्सक बदाव मिं फेस्तुस राजपाल बणौ।
105,The first challenge of the modern era is environmental pollution too.,आधुनिक युगकि पैंल चुनौती पर्यावरण प्रदूषण लै छ।
106,"One day, a wise man said, Oh Dhanu God, Saturn and Rahu only come when someone?s time is bad.","एक दिन एक समझदार आदिमल कौय कि अरे धनुवा भगवान, शनि, राहु तब हूँ जब कैक बगत खराब हूँ।"
107,"There, the Trinity is given rest for seven days.",वां त्रिमूर्ति कैं सात दिन तक विश्राम कराई जांछ।
108,"Damu, after eating and drinking, went to the market; he went down the road for a bit and soon rode a vehicle to the market, brought rations, vegetables, and greens, and came back home after the wedding.","दमु खै-पिबेर बजार जाणा्क लिजि तलि सड़क में अै जाँ और जरा देर में गाड़ि में भैबेर बजार जाँ, राशन-पाणि, साग-पात ल्हि बेर ब्याव इकोइ अपण घर अैं जाँ।"
109,The powers and duties of the National Executive Committee are specified in Section 10.,धारा 10 में राष्ट्रीय कार्यकारी समितिक शक्ति और काम बताई रई।
110,Pushpa felt good about one boy.,पुष्प कैं एक च्यल भल लागछी।
111,"Then they prayed to God with one mind, loudly saying, Oh Lord God, you made the sky, earth, sea, and everything in them.","तब उनुल एक मन हबेर जोर-जोरल परमेश्वर धैं प्रार्थना करी, हे प्रभु परमेश्वर, तुमुलै अगाश, धरति, समुद्र और जे लै यैमिं छु, उ सब बणा।"
112,Damu! Now calm down.,दामू! अब शांत है जा।
113,Then they all decided that Jesus should receive the death penalty.,तब उं सबोंक यौ फैसॉल हौ कि यीशु कैं प्राण दंड मिलण चैं।
114,"In the meantime, a man came forward shouting, Hey animal, you?ve given it to him who served the mango.",इतुक में एक आदिम बीच में बै बल्हाय अरे जिंवर त उकें देई गोछि जो आम्कि स्यव करल।
115,"After two or three months, call Kaki too, settle her a bit, who will feed Kaki?","द्वि-चार मैहण बाद ल्यै काखि कैं, जरा अपूकें स्यट कर लै, को खाणों काखि कैं?"
116,The thinker might agree that it would be a virtuous act if Damda consents.,सोचणों अगर दम्दा मान जानों तो एक पुन्यक काम है जा्न।
117,"One corpse was carried on four men?s shoulders, chanting ?Ram?s name is true, speak the truth to be free? as it reached the cremation ground.","एक मुर्द चार आदिमोंक का्न में धरि 'राम नाम सत्त है, सत्त बोलो गत्त है' की गुंजार में तिथाण कें पुजौं।"
118,What you saw might have happened like that.,तुमूल जै क्ये देखि हुनेलि।
119,"In all our activities, many plans are made to succeed without harming the environment.",हमार हर क्रियाकलाप में पर्यावरण कें बिना नुकसान पुजा भेर भौत योजना बणाई जांछी।
120,"Our mother told us, you know that my wise Rachel gave birth to two boys for me.",हमार बौज्यूल हमुधैं कौ कि तुम तो जाणछा कि मेरि स्यैणि राहेलल मिंबे द्वी च्यालों कैं जनम देछी।
121,"Now the lamp has gone out, eating lentils-rice or bread-vegetables started stinking from the nose.","आब लाट पड़ी गोय कुपाणी दाल-भात, रोट-साग खाण हूँ दियो त नाक गन्युनेर भय।"
122,"When Jesus and his disciples reached near Jerusalem at Bethany village, Jesus sent two disciples ahead, saying, Go to the village in front of you.","जब यीशु और उनार शिष्य यरुशलेम बे थ्वाड़ पैली बैतनियाह गौं मिं पुजीं, तब यीशुल द्वी शिष्यों कैं यौ कैबेर भेजौ, उ सामणीक गौं मिं जाओ।"
123,"The British devised all sorts of schemes to crush the freedom movement, yet their society always stayed at the forefront of the freedom fight.","गोर-अंगरेजनौल आजादीक आन्दोलन कै कुचलणक लिजी किसम-किसमक परपंच रचीं, फिर लै यांक समाज आजादीक लड़ै में हमेशा आघिनै रौ।"
124,"They took a long breath and said, Daughter-in-law, what?s this whispering? I?ve heard all your talk.","उनुल लंबी सांस लि बै कौ 'ब्वारी क्या हरै खुसर-फुसर, मलि तुमरि सब बात सुणि ह्याली'।"
125,"Now just memories, sighs, longing, and tears remain in the eyes.","बस आब याद, निश्वास, हूक और आंखन में पाणि रैगो।"
126,"The previous day, after visiting the Bagnath temple at night, she left for Kausani.",अघिल दिन रत्तै बागनाथ मंदिर कै दख्यण क बाद उ कौसाणि हूं रवाना है गयीं।
127,Who knows how Jagga?s wedding happened; Prasad saw it recently.,कै अंदाजै नि भै हो जग्गुवा ब्या परसाद रेल देख् हाली।
128,"Even if those people aren?t in this world now, who knows if their grandchildren feel good or not?",भले ऊँ लोग आ्ब यो दुन्नि में नि भै मगर के पत्त उना्र नाति-प्वाथन भल लागौ नि लागौ।
129,Sewage treatment plants need to be installed so the life-giving rivers? water doesn?t get polluted.,सीवर ट्रीटमेंट प्लांट लागण चैनी जैल जीवनदायिनी नदीयोंक पाणि दूषित नि हवो।
130,"In the prime of youth, her husband was snatched away.",भरी जवानी में वीक सुहाग उजड़ि गोछी।
131,"When the wedding began, Jesus? disciples came to him and said, This place is too deserted.","जब ब्याल हुण लागी, यीशुक शिष्योंल उनर पास ऐबेर कौ, यौ जॉग भौतै सुनसान छु।"
132,"Joseph, seeing Benjamin with his brothers after meeting them, asked them, Is this your youngest brother you told me about?","यूसुफल मेलिबे चैबेर आपण शांक्कै भै बिन्यामीन कैं देखिबेर उनुधैं पुछौ, के यौ तुमर सबों है नॉन भै छा, जैक बारि मिं तुमुल बताछी?"
133,"Initially, three seats were the limit, and two were in favor of Congress, but in the results, the hand symbol took over like a rooster.",पैलीं हद है हद तीन सीटनै बात छी और द्वि कांग्रेसा हक में छी मगर रिजल्ट में पंजा हा्थ कुकरौ लीन लागौ।
134,"I?ve been working on grammar in the Kumaoni language, and this is my earlier composition.",मैं ऐल कुमाउनी भाषा में व्याकरण पर काम करनयूं और यै अघिल ऊणी वालि रचना छ मेरि।
135,"The inspiration to write in Kumaoni came from seeing Pt. Gumani Pant Ji?s works, thinking of composing Shri Ram Charit in Kumaoni couplets and quatrains.",कुमाउनी लिखणेकि प्रेरणा पं गुमानी पंत ज्यूकि रचना देखिबेर श्री राम चरित कें कुमाउनी दोहा चौपाई में छंदोबद्ध करणक् बिचार आ।
136,Cross the road from there.,यत्तिकें छ सामणी रोड़ पार करिबेर।
137,Ibrahim will become the father of a great and strong nation.,इब्राहीम एक ठुल और मजबूत देशक कुल पिता बणि जॉल।
138,Gandhi Ji wrote important articles on this idea too.,गांधीज्यूल योई विचान महत्वपूर्ण लेख लेख ले लिखीं।
139,"When he and Jesus? disciples came home, his disciples asked him privately, Why couldn?t we cast out that spirit?","जब वांबे यीशु और उनार शिष्य घर आईं, तब एकांत मिं उनर शिष्योंल उनुधैं पुछौ, हमुल उ भूत कैं किलै नि निकालि सक?"
140,"I told my mother to protect this boy with this promise, that if I don?t bring him back to you, I?ll be guilty before you forever.","मील आपण बौज्यू धैं यौ लौंडक हिफाजतक वैद यौ कैबेर करि रॉखौ, कि अगर मी यकैं तुमर पास वापिस नि ल्यूंल, तब मी उमर भर तुमर कसूरदार रूंल।"
141,"In India, ancestors kept that tradition alive, which is why India is known worldwide as a global teacher.","भारत में पुरूखोंल उ थात कैं ज्यून धर राखछ, जैक कारण पुर संसार में भारतकि पछयाण विश्वगुरू रूप में छ।"
142,"Jesus told them, Moses said this for you because your ancestors wanted to fulfill their stubbornness.","यीशुल उनुधैं कौ, मोशेशल यौ यैक लिजी कौ, किलैकि तुमर पुरखा आपण जिद्द पुर करण चांछी।"
143,I first worked in the PWD as a work-charge employee in 1966.,मैं पैंली 1966 में पीडब्लूडी में वर्कचार्ज में नौकरी करि छीं।
144,Then she took that wise woman by the hand to the bathroom.,तब उ स्यैणि कौशिक ख्वर पलासैं और हाथ पकड़ि बेर गोसल में लि जें।
145,It got crowded and too noisy there.,वक वजैल और ज्यादै भीड़ है गे।
146,The ancient tales from the old days are true.,पुराण जमानैक पुराणिक बात पर सांच्चि।
147,UNICEF works with non-governmental organizations.,यूनीसेफ गैर सरकारि संस्थानन दगाड़ काम करछी।
148,"In the evening, after eating, everyone said, Last night the wedding party came quickly by nine, which was fine, otherwise how long could we wait?","ब्यालैं खाणे ख्याबेर सबन धें कई गै, रतहिं सब जल्दी आया बरात् नौ बाजि बाट् लागि जालि जो आलत् ठीक भै नतरि हम कैके एंतजार न करौं।"
149,Why did you ring three times? You didn?t pick up the phone!,किलै तीन बार तहैं धन्टी मारि है! त्वील फोन नि उठाय!
150,Joseph?s brothers saw him from afar and planned to kill him.,यूसुफॉक भैनोंल उकैं दूर बे उण देखिबेर मारणक इरॉद बणा।
151,That?s why Lord God sent man out of the garden to farm the soil from which he was made.,"यैक लिजी प्रभु परमेश्वरल मैंस कैं उ बगीच बे भ्यार भेजि दे, कि उ उ मॉट मिं खेति करो, जैल उकैं बड़ाई गोछी।"
152,Damu went outside to wash his hands and face toward the water stream.,दमु हाथ-मुख धूणाक लिजि भ्यार खोईक तरफ जाँ।
153,What should I cook?,के पकूं?
154,"We lived in Almora city in the Danya neighborhood, which was a very respectable area.",हम अल्माड़ शहर में दन्या मुहल्ल में रूंछियां जो भौते संभ्रांत लोगनक मुहल्ल छी।
155,"Out of fear, he didn?t go inside that cave again.",उ डराक मारी दुबारा उई ओड्यार भितेर न्है जें।
156,That?s why he crossed Mysia and came to the city of Troas.,यैक लिजी उं मुसिया पार करिबेर त्रोआस नगर मिं आईं।
157,"Mother stopped at Dharmasav, where Mohan became a doctor; after consulting, he checked all reports and conducted Mohan?s tests.","इज क धरमसाव में रूके बै मोहन डॉक्टर हूँ सल्ला करहु जान भैगो, डाक्टरल सब रिपोर्ट दिखी बै मोहनक सब टेस्ट करि दी।"
158,My master is very kind.,म्यर मालिक भौत्ते दयावान छ।
159,We all thirty youths were full of new enthusiasm.,हम सबै 30 युवक नई उमंग में छियां।
160,"According to ordinary legal rules, the accused (against whom a case exists) is considered innocent until proven guilty.","कानून साधारण नियमक अनुसार अभियुक्त (जैक खिलाफ मामिल छ) तब तक निर्दोष मानी जां, जब तक वीक खिलाफ मामिल सिद्ध नि है जान।"
161,Why can?t an agitation be started for them too?,एक आन्दोलन इनार लिजी लै क्यलै नि चलाई जान?
162,Such happiness came into Damu and Jibanti?s lives that Jibanti could never imagine her little love would return to her.,दामू और जिबन्ती क जीवन में यसि खुशहाली अै ग्ये कि जिबन्ती कभे सोच लै नि सकछी कि वीक नानछना प्यार विकें वापस मिल जा्ल।
163,She came and left just like that!,जसी आयीं उसी न्है ले ग्या!
164,"I have a friend, Govind, who is from Pithoragarh.",म्यर एक दगड़ि छी गोबिंद जो पिठौड़ागड़क छी।
165,"If her parents had reached her in time, everyone would have spat on her situation, and her parents wouldn?t have understood either.",अगर यकणि में यैक मैत पुजै दि्नू तो वाँ लै सब थू-थू करणि हा्य यैक परिस्थिति समझणि यैक मै-बाप लै नि हा्य।
166,"In fact, this is a member of the Arctic family.",दरसल यो आर्टिका परिवारक एक सदस्य छू।
