src,tgt,tgt_augmented
"After that, after Jesus cried out loudly, he gave up his spirit.",यैक बाद यीशुक खाप बे जोरकि अवाज निकलणक बाद उनुल आपण प्राण छोड़ि देई।,"कोरिन्थी ६:3-th, 1, 1, 1, 1, 1, 1, 6:3-th, 6:3-th, 6:3-th"
"Well, whatever happens, we?ll see.","खैर जे लै होल, देखी जा्ल।","लै होल, देखी जा्ल।"
"This wise one was there, that?s why he committed suicide.",यौ स्यैणि वदिल छि बल तबै वील आत्महत्या कर राखी बल।,वणि वदिल छि बल तबै वील आत्महत्या कर राखी बल।
And he threw their tables away and didn?t let anyone carry goods through God?s house courtyard.,"और उनुल उनर मेजों कैं खेड़ि दे, और कैकणी लै समान लिबेर परमेश्वरक घरक पटाङणक बॉट नी जाण देय।","उन उनर मेजों कैं खेड़ि दे, और कैकणी लै समान लिबेर परमेश्वरक घरक पटाङणक बॉट नी जाण देय।"
Where a huge crowd of people had gathered.,जमें लोग-बागनैकि भौत ज्यादा भीड़ इकठ्ठ भै।,-बागनैकि भौत ज्यादा भीड़ इकठ्ठ भै।
The composition can be sent by mail under the editor?s name to this address.,रचना संपादक क नाम पर य पत्त पर डाक द्वारा भेजि सकछा।,क नाम पर य पत्त पर डाक द्वारा भेजि सकछा।
"Inside, the girls were busy with their joys and sorrows, some grinding millet, some making Aipan designs.","स्येंणिं, चेल्ली भितरा क कमरन में आपण-आपण सुख-दुःख लगै राखछि, क्वे बिस्वार पिसि द्वार मोव लेखंण, एैपंण डालंण में व्यस्त रूंछि।","चेल्ली भितरा क कमरन में आपण-आपण सुख-दुःख लगै राखणिं, चेल्ली भितरा क कमरन में आपण-आपण सुख-दुःख लगै राखणिं, चेल्ली भितरा क कमरन में आपण-आपण सुख-दुःख लगै राखछि, क्वे बिस्वार पिसि द्वार मोव लेखंण, एैपंण डालंण में व्यस्त रूंछि।"
"Bishan said, Friend Bhina! Whether the leaf is big or small, whatever happens has happened till now.","बिशनल कै, यार भिना! पत्त ठुल हो या ना्न, जू लै कैक भयो आज तक।","कै, कै, कै, कै, यार भिना! पत्त ठुल हो या ना्न"
"Under the cot?s legs, with soft cloth, I?ll cook bread, or lentils, porridge, whatever there is.","पालंगौक तिनड़ी, मुलौक थेच्चु दगै रोट पकै द्युं या दलि, खिचैड़ि, जे कुंछै।","ंगौक तिनड़ी, मुलौक थेच्चु दगै रोट पकै द्युं या दलि, खिचैड़ि, जे कुंछै।"
"He thought, even in this cruel world today, there?s someone as kind as Maya.","वल स्वचौ, आज एसि निर्दयी दुनि में माया जसि दयावान लै छा।","आज, आज, आज एसि निर्दयी दुनि में माया जसि दयावान लै छा।"
Scholars believe that the first Khas tribe lived in Kumaon.,विद्वानोंक मानण छु कि कुमाऊँ में पैंली खश जाति निवास करछी।,मैं जानता छु कि कुमाऊँ में पैंली खश जाति निवास करछी।
"Now we can?t find the Ghughuti mantra, but by making Ghughuti from flour, even today kids sing Ghughuti and crow songs while feeding the crows.",आ्ब घुघुती मंत्र तो नि मिलि सकन पर पिसुवाक् घुघुत बणै बेर नानतिनाक् हात् आज लै कावांक और घुघुतियक गीत गै-गै बेर घुघुत कावां कैं खवाई जानी।,्ब घुघुती मंत्र तो नि मिलि सकन पर पिसुवाक् घुघुत बणै बेर नानतिनाक् हात् आज लै कावांक और घुघुतियक गीत गै-गै बेर घुघुत कावां कैं खवाई जानी।
"This helpless cripple, no one in the world should see their mother or sister insulted with mud or bear humiliation.","यौ असहाय अपंग छ, दुनि में कोई लै भै अपणि मै-बैणियाँ में कीचड़ उछालते नि देखण चान और न अपमान सहन कर सकन।","अपंग छ, दुनि में कोई लै भै अपणि मै-बैणियाँ में कीचड़ उछालते नि देखण चान और न अपमान सहन कर सकन।"
"My leave ended there, and I stayed there.","इथकै म्यार छुट्टी पुरि ग्याय, मैं ऊनै रैयूं।","मैं ऊनै रैयूं, म्यार छुट्टी पुरि ग्याय, मैं ऊनै रैयूं।"
Tomorrow they will go to their work too.,भोल यै बै जालै आपण काम में।,यै बै जालै आपण काम में।
"Day by day, the Kumaoni language is starting to develop.",दिन पर दिन कुमाउनी भाषाक विकास हुण लागि रौ।,दिन कुमाउनी भाषाक विकास हुण लागि रौ।
"In a year, seeing one sister among them has happened.",साल भरि में वैक एक भौत देखण चांण च्यौल भौ है गोय।,एक भौत में वैक एक भौत देखण चांण च्यौल भौ है गोय।
"The wedding will happen at my friend?s house, Damu said.","ब्याव कै म्या्र दगा्ड़ घर अै जालि, दमुवैल कौ।","म्या्र दगा्ड़ घर अै जालि, दमुवैल कौ।"
Pour the ghee into the soldier?s pot.,घ्यु ले सिपाइलि पतेलि में डालि द्यो।,सिपाइलि पतेलि में डालि द्यो।
"For four years, he continuously fought with Jaimal, the upper Doti king.",ऊं चार सालों बै उरातार डोटीक मल्ल राज जयमल्ल दगै लड़ै लड़नाछी।,सालों बै उरातार डोटीक मल्ल राज जयमल्ल दगै लड़ै लड़नाछी
The story of the brave Abdul Hamid is still fresh in my memory.,यसीकै वीर अब्दुल हमीद कि कहानि लै मैंकें मुखजबानी याद छ।,अब्दुल हमीद कि कहानि लै
"Lal Da?s wedding in 1987, I remember it well.",लाल दा ब्या १९८७ में हौय मकणि भलीकै याद छू।,१९८७ से १९८७ में हौय
"Today, Madhu?s groom?s side has arrived.",आज मधुलिकि बर्यात अणि छा।,लिकि बर्यात अणि छा।
"He said, Boy, look, now I?ve become very old.","वील कौ, च्यला देख, ऑब मी भौत बुड़ है गोयूं।","च्यला देख, ऑब मी भौत बुड़ है कौ"
"If he doesn?t die, then he?ll die like her too.",नि मरौ तो फिर ऊ लै मरीए जस हय।,तो फिर ऊ लै मरीए जस हय।
"Until you reach there, what can we do?",जब तलक तुम वां नि पुजला तब तलक हम के नि करि सकन।,क तुम वां नि पुजला तब तलक हम के नि करि सकन।
"That became my little job, a small role.","उसिकै मेरि नानि नौकरि, नानि भूमिका भै।","िकै मेरि नानि नौकरि, नानि भूमिका भै।"
"She reached Bethlehem with her Moabite daughter-in-law Ruth; at that time, the barley harvest was happening there.","इसिक नामी आपणि मोआबी ब्वारि रूतक दगाड़ आपण गौं बैतलहम पुजी, उ बखत वां जौं कटाइ हैरैछी।","आपणी आपणि मोआबी ब्वारि रूतक दगाड़ आपण गौं बैतलहम पुजी, उ बखत वां जौं कटाइ हैरैछी। आपण गौं बैतलहम पुजी, उ बखत वां जौं कटाइ हैरैछी।"
"In the herd, looking up and down while grazing, a long whistle sounded, Pooooh.",पंजन् में उचैकि-उचैकि बेर उतरप देखते देखते हाव् में शांकै कि लंबी आवाज पूऽऽऽऽऽह्।,ऽऽऽऽऽऽऽऽऽऽऽऽऽऽऽऽऽऽऽऽऽह्
Be brave and stand inside with him.,हिम्मत करैं और वी भितेर ठा्ड़ है जैं।,ैं और वी भितेर ठा्ड़ है जैं।
"Oh, this Nirav Modi has six passports with different names and addresses?","हाई, यौ नीरव मोदी पास छः पासपोर्ट छी बल अलग अलग नाम-पत्त वाल्?",You are here: Home / Unlabelled / नीरव मोदी पास छः पासपोर्ट छी बल अलग अलग नाम-पत्त वाल्?
"Even in such adverse conditions, her poetry stays alive.",अकाव जसि विषम परिस्थिति में लै उनरि कविता ज्यूनी रै।,एक विषम परिस्थिति में लै उनरि कविता ज्यूनी रै।
"There?s Kedarnath, Badrinath, Gangotri, Yamunotri, and many other pilgrimage sites too.","केदारनाथ छ, बदरीनाथ छ, गंगोत्री छ, यमुनोत्री छ और लै कतुपै तीर्थ छन।","दारनाथ छ, बदरीनाथ छ, गंगोत्री छ, यमुनोत्री छ और लै कतुपै तीर्थ छन।"
"All the people of the world run after these things, but your Father God knows you need all these things.","दुनियॉक सब मैंस यौ चीजोंक पछिल दौड़नी, पर तुमर पिता परमेश्वर जाणनी कि तुमुकैं यौं सब चीजोंक जरवत छु।","Psalms of the Week: Part 1, Part 1, Part 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
I?ll reach home by evening even after the wedding.,भोव हू व्याव तलक मी घर पहूच जूल।,हू व्याव तलक मी घर पहूच जूल।
"Why be afraid, little one, go, I?ll go this far too, Harish said.","के नि डरन नान, से जा, मैं लै यतिकै से जानू, हरीशल कौ।","लै यतिकै से जानू, हरीशल कौ।"
"Jesus explained to him, Go straight home and don?t tell anyone in the village about this.","यीशुल उकैं समझैबेर कौ, सिद्द आपण घर जा और गौं मिं यौ बातक बारि मिं कै धैं के लै नि कऐ।","ल उकैं समझैबेर कौ, सिद्द आपण घर जा और गौं मिं यौ बातक बारि मिं कै धैं के लै नि कऐ।"
"Their goods were there too, and whatever they had, they sold it as needed and distributed it among them.","उनर समान लै साजक छी, और जनर पास समान छी, उं उकैं बेचिबेर जस जनेरि जरवत हुंछी, उस उनुकैं बॉट दिंछी।","लै लै पास समान लै साजक छी, और जनर पास समान छी, उं उकैं बेचिबेर जस जनेरि जरवत हुंछी, उस उनुकैं बॉट दिंछी।"
"He took him to Antioch, and they stayed there teaching people for a year.","वांबे उकैं आपण दगाड़ अंताकिया लिबेर आ, और उं द्विवै अंताकिया मिं एक साल तलक मैंसों कैं सिखूनै रईं।","वांबे उकैं आपण दगाड़ अंताकिया लिबेर आ, और उं द्विवै अंताकिया मिं एक साल तलक मैंसों कैं सिखूनै रईं।"
"In these dictionaries, one is an old Khasakura Pahari dictionary.",इन शब्दकोशों में एक छु खसकुरा पुरानी पहाड़ी शब्दकोश।,छु खसकुरा पुरानी पहाड़ी
"His birth was on October 2, 1964, in Badalu Dhapot village, Pithoragarh district, to mother Mrs. Kamla Devi and father Mr. Mohan Singh Thakurathi Ji.","इनर जनम 2 अक्टूबर सन 1964 हुं ग्राम बड़ालू धपौट, जिल्ल पिथौरागढ़ में ईजा श्रीमती कमला देवी व बौज्यू श्री मोहन सिंह ठकुराठी ज्यू वाँ भौ।","दिनांक 2 अक्टूबर सन 1964 हुं ग्राम बड़ालू धपौट, जिल्ल पिथौरागढ़ में ईजा श्रीमती कमला देवी व बौज्यू श्री मोहन सिंह ठकुराठी ज्यू वाँ भौ।"
"He blew on the corpse, pulled out pieces of flesh, dipped them in water to cool them, wrapped them in a cloth, and threw them into the Yamuna.",ऊ मुर्द फुकणयैल ऊ मासौ्क टुकुड़ भ्यार निकाली हैं वीकें पाणि में डायबेर ठंड करो और एक कपड़ाक टुक में बादि बेर जमुना में डाइ द्‌यो।,फुकणयैल ऊ मासौ्क टुकुड़ भ्यार निकाली हैं वीकें पाणि में डायबेर ठंड करो और एक कपड़ाक टुक में बादि बेर जमुना में डाइ द् यो।
"Joseph?s mistress talked to him daily, but Joseph didn?t agree.",यूसुफकि मालकिन वीक दगाड़ रोज-रोज बात करछी लेकिन यूसुफ नि मानछी।,फकि मालकिन वीक दगाड़ रोज-रोज बात करछी लेकिन यूसुफ नि मानछी।
When the boy was selected in the NDA.,जब च्यल एनडीए में चयनित भौ।,Previous Post Previous post:ल एनडीए में चयनित भौ।
Then Mother felt that something was wrong.,तब इज कें लागौ कि सैत कुछ गड़बड़ छा।,इ इ इ इ इ इ इ इ
"While coming to Lucknow, it was my duty to deliver these bundles and goods to Birnagar, Nazarbaag, Sadar, Canal Colony, and Raja Bazaar.","लखनौ ऐ बेरि इन पुन्तुरिन और सामान कैं बीरनगर, नजरबाग, सदर, नहर कालोनी, राजा बजार पुजुणैं ड्यूटि मेरि भै।","खनौ ऐ बेरि इन पुन्तुरिन और सामान कैं बीरनगर, नजरबाग, सदर, नहर कालोनी, राजा बजार पुजुणैं ड्यूटि मेरि भै।"
Now tomorrow he?ll wear his pajama too.,आ्ब भोल हुणि उसिकै पैजाम लगै ल्हयाल।,जब्ब भोल हुणि उसिकै पैजाम लगै ल्हयाल।
"In May, with the Ghughutas, shields, swords, drums, and pomegranate flowers are made.","माव् में घुघुतांक् दगाड़ि गछ्याईं जानी-ढाल-तलवार, हुड़ुक, डमरू, दाड़िमक फूल।","भाषा में घुघुतांक् दगाड़ि गछ्याईं जानी-ढाल-तलवार, हुड़ुक, डमरू, दाड़िमक फूल।"
Jesus was teaching about praying.,यीशु प्रार्थना करणक बारि मिं सिखूणईं।,करणक बारि मिं सिखूणईं।
"Jesus said again, I tell you not to worry about your life, what we will eat, or about your body, what we will wear.","यीशुल फिर कौ, मी तुमुधैं कूंनू कि फिकर नि करो, न आपण जिन्दगीक लिजी कि हम के खूंल और न आपण आङक लिजी कि हम के पैरूंल।","फिर कौ, मी तुमुधैं कूंनू कि फिकर नि करो, न आपण जिन्दगीक लिजी कि हम के खूंल और न आपण आङक लिजी कि हम के पैरूंल।"
He knows where she died too.,उ लै जाणि कति मरि रई।,. . . . जाणि कति मरि रई।
"Everyone thought that at twelve o?clock, Madhu?s groom would feel human pain.",सबु हैं कई हौय कि बार बजि जामिणी रौल मधुलिकु क्वर मानव पिणु।,हैं कई हौय कि बार बजि जामिणी रौल मधुलिकु क्वर मानव पिणु।
"How is our daughter-in-law, Kyapp said.",क्याप्प हाइ कौ हमार ब्वारी।,कौ हमार ब्वारी।
"After that, instead of Felix, Festus became the governor.",यैक बाद फेलिक्सक बदाव मिं फेस्तुस राजपाल बणौ।,लिक्सक के बाद फेलिक्सक बदाव मिं फेस्तुस राजपाल बणौ।
The first challenge of the modern era is environmental pollution too.,आधुनिक युगकि पैंल चुनौती पर्यावरण प्रदूषण लै छ।,पैंल पैंल पैंल पैंल पैंल पर्यावरण प्रदूषण
"One day, a wise man said, Oh Dhanu God, Saturn and Rahu only come when someone?s time is bad.","एक दिन एक समझदार आदिमल कौय कि अरे धनुवा भगवान, शनि, राहु तब हूँ जब कैक बगत खराब हूँ।","एक समझदार आदिमल कौय कि अरे धनुवा भगवान, शनि, राहु तब हूँ जब कैक बगत खराब हूँ। एक समझदार आदिमल कौय कि अरे धनुवा भगवान, शनि, राहु तब हूँ जब कैक बगत खराब हूँ।"
"There, the Trinity is given rest for seven days.",वां त्रिमूर्ति कैं सात दिन तक विश्राम कराई जांछ।,त्रि त्रि दिन तक विश्राम कराई जांछ।
